"question_id","question","reference_answer","sharepoint_document","ragas_question","ragas_answer","ragas_contexts","ragas_ground_truth"
"QNeo001","Qui est le chef de projet du Projet Néo ?","Marc Dubois est le chef de projet du Projet Néo.","Note de cadrage - Projet Neo.txt","Qui est le chef de projet du Projet Néo ?","Marc Dubois est le chef de projet du Projet Néo selon les informations du cadrage.","[Document: Note de cadrage - Projet Neo.txt] Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce. ||| [Document: Note de cadrage - Projet Neo.txt] L'équipe clé comprend Marc Dubois comme Chef de Projet, Sophie Martin comme Lead Developer et David Chen comme Expert Data Science.","Note de cadrage - Projet Neo.txt"
"QNeo002","Quel est l'objectif principal du Projet Néo ?","Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce avec un objectif d'augmenter l'engagement utilisateur de 15% avant la fin de l'année.","Note de cadrage - Projet Neo.txt","Quel est l'objectif principal du Projet Néo ?","L'objectif du Projet Néo est de développer un nouvel algorithme de recommandation pour la plateforme e-commerce afin d'augmenter l'engagement utilisateur de 15% d'ici la fin de l'année. Ce projet fait partie de l'initiative stratégique Quantum Leap.","[Document: Note de cadrage - Projet Neo.txt] Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce. ||| [Document: Note de cadrage - Projet Neo.txt] L'objectif est d'augmenter l'engagement utilisateur de 15% avant la fin de l'année. ||| [Document: Note de cadrage - Projet Neo.txt] Ce projet est une composante clé de l'initiative stratégique Quantum Leap.","Note de cadrage - Projet Neo.txt"
"QNeo003","Qui est le lead developer assigné au projet ?","Sophie Martin est le lead developer assigné au Projet Néo.","Note de cadrage - Projet Neo.txt","Qui est le lead developer assigné au projet ?","Sophie Martin est désignée comme Lead Developer pour le Projet Néo.","[Document: Note de cadrage - Projet Neo.txt] L'équipe clé du projet comprend Marc Dubois comme Chef de Projet, Sophie Martin comme Lead Developer et David Chen comme Expert Data Science.","Note de cadrage - Projet Neo.txt"
"QNeo004","Quelles sont les compétences de David Chen ?","David Chen possède des compétences en Python, Scikit-learn, TensorFlow et NLP.","Repertoire equipe - Projet Neo.txt","Quelles sont les compétences de David Chen ?","David Chen, Data Scientist Principal, maîtrise Python, Scikit-learn, TensorFlow et le NLP (Natural Language Processing).","[Document: Repertoire equipe - Projet Neo.txt] David Chen - Poste : Data Scientist Principal - Manager : Marc Dubois - Projets : Projet Néo - Compétences : Python, Scikit-learn, TensorFlow, NLP.","Repertoire equipe - Projet Neo.txt"
"QNeo005","Qui est le manager de Sophie Martin ?","Marc Dubois est le manager de Sophie Martin.","Repertoire equipe - Projet Neo.txt","Qui est le manager de Sophie Martin ?","Marc Dubois est le manager de Sophie Martin selon l'organigramme de l'équipe.","[Document: Repertoire equipe - Projet Neo.txt] Sophie Martin - Poste : Lead Developer - Manager : Marc Dubois - Projets : Projet Néo - Compétences : Python, Java, Docker, TensorFlow.","Repertoire equipe - Projet Neo.txt"
"QNeo006","Quelle est la date limite pour le premier PoC de Sophie Martin ?","Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025.","Compte-Rendu de Reunion.txt","Quelle est la date limite pour le premier PoC de Sophie Martin ?","Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025 selon les décisions de la réunion de kick-off.","[Document: Compte-Rendu de Reunion.txt] Prochaines Étapes - Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025. ||| [Document: Compte-Rendu de Reunion.txt] Une revue de projet est fixée avec Carole Lambert pour le 15 Mars 2025.","Compte-Rendu de Reunion.txt"
"QNeo007","Quel framework a été confirmé pour le modèle principal ?","TensorFlow a été confirmé comme framework pour le modèle principal.","Compte-Rendu de Reunion.txt","Quel framework a été confirmé pour le modèle principal ?","TensorFlow a été confirmé comme framework pour le modèle principal du projet, avec Sophie Martin responsable de l'implémentation.","[Document: Compte-Rendu de Reunion.txt] Décisions Techniques - Confirmation de l'utilisation de TensorFlow pour le modèle principal. ||| [Document: Compte-Rendu de Reunion.txt] Sophie Martin sera responsable de l'implémentation.","Compte-Rendu de Reunion.txt"
"QNeo008","Qui dirige l'équipe Data Warehouse ?","Hélène Petit dirige l'équipe Data Warehouse.","Repertoire equipe - Projet Neo.txt","Qui dirige l'équipe Data Warehouse ?","Hélène Petit occupe le poste de Directrice Data Warehouse et gère l'équipe Data Warehouse.","[Document: Repertoire equipe - Projet Neo.txt] Hélène Petit - Poste : Directrice Data Warehouse - Manager : Carole Lambert - Équipe : Gère l'équipe Data Warehouse.","Repertoire equipe - Projet Neo.txt"
"QNeo009","Quelle base de données est envisagée pour le projet ?","Neo4j est envisagé comme base de données pour sa capacité à modéliser les relations entre produits.","Note de cadrage - Projet Neo.txt","Quelle base de données est envisagée pour le projet ?","Neo4j est la base de données envisagée pour le projet en raison de sa capacité à modéliser efficacement les relations entre produits.","[Document: Note de cadrage - Projet Neo.txt] Technologies envisagées - Langage principal : Python - Framework : TensorFlow - Base de données : Neo4j pour sa capacité à modéliser les relations entre produits.","Note de cadrage - Projet Neo.txt"
"QNeo010","Quand est prévue la revue de projet avec Carole Lambert ?","Une revue de projet est fixée avec Carole Lambert pour le 15 Mars 2025.","Compte-Rendu de Reunion.txt","Quand est prévue la revue de projet avec Carole Lambert ?","La revue de projet avec Carole Lambert est programmée pour le 15 Mars 2025.","[Document: Compte-Rendu de Reunion.txt] Prochaines Étapes - Sophie Martin doit livrer un premier PoC (Proof of Concept) pour le 1er Mars 2025. ||| [Document: Compte-Rendu de Reunion.txt] Une revue de projet est fixée avec Carole Lambert pour le 15 Mars 2025.","Compte-Rendu de Reunion.txt"
"QNeo011","Quel risque a souligné David Chen concernant les données ?","David Chen a souligné un risque concernant la qualité des données historiques.","Compte-Rendu de Reunion.txt","Quel risque a souligné David Chen concernant les données ?","David Chen a identifié un risque majeur concernant la qualité des données historiques, nécessitant une synchronisation avec Hélène Petit.","[Document: Compte-Rendu de Reunion.txt] David Chen a souligné un risque concernant la qualité des données historiques. ||| [Document: Compte-Rendu de Reunion.txt] Une action est assignée à Marc Dubois pour synchroniser avec Hélène Petit.","Compte-Rendu de Reunion.txt"
"QNeo012","De quel projet stratégique fait partie le Projet Néo ?","Le Projet Néo est une composante clé de l'initiative stratégique 'Quantum Leap'.","Note de cadrage - Projet Neo.txt","De quel projet stratégique fait partie le Projet Néo ?","Le Projet Néo s'inscrit dans le cadre de l'initiative stratégique 'Quantum Leap' comme composante clé.","[Document: Note de cadrage - Projet Neo.txt] Le Projet Néo vise à développer un nouvel algorithme de recommandation pour notre plateforme e-commerce. ||| [Document: Note de cadrage - Projet Neo.txt] L'objectif est d'augmenter l'engagement utilisateur de 15% avant la fin de l'année. ||| [Document: Note de cadrage - Projet Neo.txt] Ce projet est une composante clé de l'initiative stratégique Quantum Leap.","Note de cadrage - Projet Neo.txt"
